,speaker,line
1410,Jim,Would You Rather. Would You Rather is our third game.
1411,Dwight," Hey guys, great response time. Listen up, I got some theories. Okay, there's a..."
1412,Jim,"Okay, so... three books on a desert island? Angela."
1413,Angela,A Purpose Driven Life.
1414,Angela,I would take The DaVinci Code... so I could burn The DaVinci Code.
1415,Dwight,"Okay. Great, that's going to keep you warm for like 7 seconds. Question: is there fire wood on the island?"
1416,Dwight,"Then I would bring an axe, no books."
1417,Jim,"Uh, it has to be a book, Dwight."
1418,Dwight,Fine. Physician's Desk Reference.
1419,Dwight,"...hollowed out, inside: waterproof matches, iodine tablets, beet seeds, protein bars, NASA blanket, and, in case I get bored, Harry Potter and Sorcerer's Stone. No, Harry Potter and the Prisoner of Azkaban. Question: did my shoes come off in the plane crash?"
1420,Michael,"Rule number four. In business, image is everything - Andre Agassi. This car is an investment. Right? If I have to take out a client or I'm seen around Scranton in it. I love it. I love this car. Do you like it?"
1421,Jim,Okay. Thought people read more books.
1422,Jim,DVDs! Five movies. What would you bring to the island? Yes! Meredith?
1423,Pam,Legends of the Fall?
1424,Jim,"Wow. Bridges of Madison County, Legally Blond, these movies are just... ."
1425,Pam,"Well, I kind of liked Legal..."
1426,Jim,"Wait, wait, wait. Pam. No. Do you understand? The... the game is Desert Island Movies, not guilty pleasure movies. Desert Island Movies are the movies you're going to watch for the rest of your life! Forever! Unforgivable."
1427,Pam,I take it back.
1428,Pam,I take it back!
1429,Dwight,"Is this your car, Ryan?"
1430,Michael,"Wow, some pretty big books back there, huh?"
1431,Michael,"Hello, Mr. Egghead! Woop! So... oh, Stanley Kaplan! I know him. 'M' is for Murder, 'P' is for..."
1432,Ryan,That's actually a test prep book.
1433,Ryan,That's a test prep for business school.
1434,Michael,"Um, oh, thinking about business school?"
1435,Ryan,"I just got in. I applied, I go at night."
1436,Michael,So you think you know a lot about business?
1437,Ryan,I... wouldn't even know where to start.
1438,Michael,"Come on, egghead. Let's do it."
1439,Ryan,"All right, um... Why have people been rethinking the Microsoft model in the past few years?"
1440,Michael,"When I was Ryan's age, I worked in a fast food restaurant, to save up money for school. And then I spe... lost it in a pyramid scheme. But I learned more about business, right then and there, than business school would ever teach me, or Ryan would ever teach me."
1441,Ryan,Is it cheaper to sign a new customer? Or to keep an existing customer?
1442,Michael," Shut, it. Can I... can I just do it please?  Uh, it's equal."
1443,Ryan,It is ten times more expensive to sign a new customer.
1444,Michael,Okay. Yes! It was a trick question.
1445,Dwight,"Yeah, but look, I mean, he didn't need business school. Okay, Michael comes from the school of hard knocks."
1446,Dwight,Self taught. You didn't even go to college.
1447,Michael,"You know what, Dwight? You don't need to help me here. Okay? Well, you know... Maybe you should go to business school like Ryan, then... then you'd know what you're talking about."
1448,Dwight," Come on. I'm studying with the master, huh?"
1449,Michael,"For instance, why don't you go to business..."
1450,Dwight," You should learn from him, right?"
1451,Michael,"Stop. Dwight. You know what? You're acting like a dork. Would you cool it? Please. Okay. Hey! He's not your five year old brother, Dwight. He's a valued member of this company... and you know what? He knows more about business than you ever will."
1452,Michael,"I did not go to business school. You know who else didn't go to business school? LeBron James, Tracy McGrady, Kobe Bryant. They went right from high school to the NBA. So... so it's not the same thing. At all."
1453,Michael,Look at this stuff. Market fragments. What is that supposed to be?
1454,Ryan,It's a way of looking at consumers as subsets of a larger client base.
1455,Michael,You are so smart. You are so eff-in' smart. You should be teaching me.
1456,Jim,Pam? Get us back into it.
1457,Jim,Five movies. Go ahead.
1458,Pam,"Um, Fargo, um, Edward Scissorhands, Dazed and Confused..."
1459,Jim,"Ooh, definitely in my top five."
1460,Pam,"Yes. In my top three, so suck it."
1461,Pam,Breakfast Club. Um... The Princess Bride and...
1462,Pam,"No, my all time favorite!"
1463,Jim,"Pam, play by the rules."
1464,Jim,Play by the rules. Dwight. All time favorite movie.
1465,Michael,"I became a salesman... because of people, I love making friends. But then I was promoted to manager, at a very young age. I still try to be a friend first, but... You know? I'm very successful... your coworkers look at you differently. Huu, what do you think?"
1466,Ryan,Maybe we should get some air.
1467,Jim,All right. Let's move on. Let's move on to the main event. Who Would You Do?
1468,Jim,"Um... okay. Ah, you know what? Maybe I'll... I'll finish explaining the rules. Let's... let me explain it first, and then..."
1469,Jim,"Yeah, so we'll get right... You know what? I'll be right back. Stanley, you're taking over for me, buddy. I'll be right back."
1470,Jim,Come on Dwight! Use words.
1471,Dwight,Why didn't I go to business school?
1472,Jim,Who goes to business school?
1473,Dwight,"Yeah, it's all him and Michael talk about anymore."
1474,Pam,"You know, I bet Ryan thinks to himself 'I wish I were a volunteer sheriff on the weekends'."
1475,Dwight,He doesn't even know that I do that.
1476,Pam,You should tell him.
1477,Dwight,"Oh yeah, Pam. Right. That's going to help things, just talk it out. I hope the war goes on forever and Ryan gets drafted."
1478,Dwight,"I'm sorry I said that, I didn't... just part of me meant it. Besides, he'd end up being a hero anyway."
1479,Jim,"You know what you should do? You should quit. And then, that would stick it to both of them."
1480,Dwight,"Oh Jim, I'm not going to quit. Then Ryan wins."
1481,Dwight,Thanks you guys. I just need some alone time.
1482,Michael,"Oh, hey. Game, what game are we playing here?"
1483,Michael,"Oh, I play this at home all the time while I'm falling asleep. What, uh... . Where are we? Where are we here? Mmm.. Roy? Roy? Who would you do, Roy?"
1484,Angela,My name is Angela.
1485,Michael,"Aaaall right. Who's next, who's next, who's next, who's? Jim? You're next. Who would you do?"
1486,Jim,"Um... Kevin, hands down. Yeah. He's really got that teddy bear thing going on, and afterwards, we could just watch bowling."
1487,Michael,"Well, I would definitely have s*x with Ryan. 'Cause he is going to own his own business."
1488,Michael,"Who's, uh... Who's next? Who we got? Whooo..."
1489,Ryan," Hey, no, I can talk, I can talk, I can talk... this is great timing."
1490,Michael,"Wish I had my cell phone, but I left it inside. So..."
1491,Dwight,Would that make you happy?
1492,Dwight,"If you had your cell phone, it would make you happy?"
1493,Angela,You can't go in yet!
1494,Michael,"Dwight, don't! He is an idiot. The man is an idiot, ladies and gentlemen."
1495,Kevin,What if he dies in the fire? And that's the last thing you ever said to him.
1496,Michael,I didn't say it to him. I said it about him.
1497,Pam,Um... Oscar's kind of cute.
1498,Michael, How long does it take to find a cell phone? I don't know either.
1499,Jim," Hey, where are you? Oh good. Yeah. We're just here, we're playing Desert Island. It's when you pick your five favorite DVDs..."
1500,Michael,"Seriously, where the hell is Dwight? Hey, call my cell phone. It'll make it easier for him to find."
1501,Michael,I gave it to you in the car.
1502,Michael,I saw you program it in.
1503,Ryan,You got to... you got to give it to me again.
1504,Ryan,Now I have it.
1505,Michael,"Uh, I better tell somebody.  Excuse me, sir..."
1506,Michael,"Dwight!? Great goin'. God, Man! Why did you go in there? What... Everybody was scared out of their wits, man? Oooh."
1507,Dwight," Everyone, okay? Uh, I have an announcement. Apparently, in business school, they don't teach you how to operate a toaster oven. Because some smart, sexy temp left his cheese pita on oven instead of timing it for the toaster thing."
1508,Michael,"Wow. Okay. Well, I guess they don't teach how to operate a toaster oven in business school."
1509,Dwight,That's exactly what I said.
1510,Michael,"Hey, did you miss that day there, Ryan?"
1511,Ryan,I am so sorry.
1512,Michael,"Hey! I know what'll impress everybody, I'll start a fire. Oh, man. Bad idea. Bad idea jeans."
1513,Dwight,"I have a song. Attention, everyone! That I want to sing. That I wrote especially for this occasion when I was up there among the flames. Ready?  Ryan started the fire! It was always burning since the world's been turning!"
1514,Michael, ...since the world was turning.
1515,Ryan,I can't believe I started the fire.
1516,Dwight,Eat it! You gotta eat it. You have to eat it!
1517,Jim,"Good, how are you?"
1518,Jim,"Good to see you, too."
1519,Jim,"Yeah, I am too."
1520,Jim,"Oh! Right! Right, right, right, come-ah on, on, on.  Ladies and gentlemen! Gather around! We have one more participant. Come on, be polite. Be polite.  Desert Island. Five movies. Go."
1521,Pam,"I forgot what a super, nice girl Katy is. And just... good for Jim! They are so cute together. And, um, what an adorable car."
1522,Jim,"Okay, I think the game's over... People are like leaving. There was a bigger crowd last time. Do you just want to go to lunch?"
1523,Ryan,"I'm really sorry, Dwight."
1524,Dwight,"Answer me this, though."
1525,Dwight,Was it worth it? Was it worth it temp?
1526,Kevin,Was it worth it?
1527,Ryan,"I'm really sorry, Dwight."
1528,Dwight,The fire guy! The fire guy!
1529,Dwight," Joe McCarthy, Richard Nixon, Studebaker, television, North Korea, South Korea, Marilyn Monroe, Ryan started the fire!"
1530,Michael,"Okay. Rule five - safety first, i.e. don't burn the building down. Okay? That should be a no brainer."
1531,Michael,Oh... look! Ryan is book smart. And I am street smart. And book smart.
1532,Michael,I'll give you the rest of the ten tomorrow.
1533,Michael,"Happy Halloween, everyone!  Oh... that's great!"
1534,Pam,Hey... Happy Halloween. Jan called.
1535,Michael,"I know why she's calling. It's the end of the month, and I was supposed to let somebody go by the end of the month. And somehow I'm supposed to put on a costume and smile.  Okay."
1536,Michael,"Hey, Sherri. Michael Scott returning."
1537,Michael,"Well, I'm gonna wait till the end of the day. Because the book said it's best to wait till the end of the day."
1538,Michael,I don't know... yet. I will have to call her back.
1539,Michael,"If you were getting fired, how would you wanna be told so you could still be friends with the person firing you?"
1540,Michael,I'll call her back.  Wish I could fire Sherri.
1541,Michael,"I mean you hear about layoffs in the news, but when you actually have to do it yourself, it is heavy stuff. It's... these are people's lives you're talking about."
1542,Michael,"Um, Pam, I have to let somebody go today. This is, uh, the hardest thing I've ever had to do."
1543,Pam,Why did you put it off until Halloween?
1544,Michael,Because it's very scary stuff.
1545,Pam,I think it's gonna put a damper on the party a little.
1546,Michael,You're worried about the party? There's a man's life at stake here.
1547,Pam,So it's a man?
1548,Michael,"No. Or a woman. A human life. If you had to guess, who it would be based on their job performance... and who you think deserved to be fired - who would that be?"
1549,Pam,I just answer the phone.
1550,Michael,And... sometimes you just let it go to voicemail.
1551,Pam,You're costume is fantastic! 
1552,Michael,I know. I sent away for it in July from a catalog. 
1553,Pam,"Oh no, don't, don't, don't, don't.  Aah!  Okay..."
1554,Michael,"Oh, man. Okay, I have to fire somebody."
1555,Dwight, What is that?! What are you supposed to be?
1556,Jim,"I'm a three hole punch version of Jim. 'Cause you can have me either way. Plain White Jim, or Three-hole Punch."
1557,Dwight,"Yeah, well look...  What about me?"
1558,Dwight,I am a Sith Lord.  Oh big deal. Three round pieces of paper taped to a shirt. This cost me 129 dollars.
1559,Michael,You guys excited about the party?
1560,Michael,It's gonna be fun.
1561,Michael," Oh, boy... look at you! Haha. Showing your colors. Bet you wish you wore a dress every day."
1562,Oscar,What are you implying?
1563,Michael,All good. Happy Halloween. What happened to all those spooky decorations that we had? The cobwebs and such?
1564,Angela,"You know, I don't know. We put them all up last night."
1565,Michael,"Well, you know what? Go buy some more. I'll approve the overages. Sound good?"
1566,Michael,"Good. Oh, yeah, also about budget stuff. Um, I'm going to need you to find, like a, a full employee salary, plus benefits, like fifty grand. I'm going to need you to find 50 grand in the numbers."
1567,Angela,But we don't keep two sets of books.
1568,Michael,"Well, that's not what I'm saying. Just, you know, find it. Pretend that your jobs depend on it."
1569,Michael,"Mmm-hm-hmm. Interesting take on Dorothy. I love it. Hey, you know what would even be better? Soccer ball and cleats."
1570,Michael,"""Bend It Like Beckham."""
1571,Michael, Yeah. That would be perfect.
1572,Michael,"Well, I don't really have two heads. So..."
1573,Dwight,"Wait, what are you again? Oh, right... Three-hole PUNCH! "
1574,Pam,A dog-like obedience to authority
1575,Pam,But that doesn't sound good.
1576,Jim,"Okay, okay. Um, how 'bout, the ultimate team player? "
1577,Jim,"Dwight is... special. But, I don't believe that his talents are being used in this office. So Pam and I have put his resume on Monster.com, Google, Craig's List. We're really interested most in jobs that take Dwight out of state. Um, preferably Alaska... or India."
1578,Pam,He's a gun nut.
1579,Jim,Um. He sticks to his guns.
1580,Angela,"Well, I looked through all the budgets. And there is one department..."
1581,Angela,... that has three people...
1582,Angela,... doing the work that could be done by two.
1583,Oscar,This is great.  Oh.
1584,Michael,Who do you think it should be?
1585,Michael,"No, Jim brings in money."
1586,Dwight,Stanley. Pam. Oscar. Meredith. Kevin. Angela.
1587,Michael,It's not a popularity contest. Although it does make sense to fire the least popular because it has the least effect on morale.
1588,Dwight,One of the warehouse guys.
1589,Michael, What? There was someone left off that list? Who?
1590,Dwight,Who is he saying?
1591,Michael,"You're right, I didn't even think of him."
1592,Michael,"Yeah, that's actually a really good idea."
1593,Michael,I'm not saying that's what he said.
1594,Dwight,I know that's what he said.
1595,Dwight,"Tell him, not Dwight."
1596,Michael,That is not a very nice thing to say about him.
1597,Dwight,Tell him to stop.
1598,Michael,I agree. He'd land on his feet.
1599,Dwight,Make him be quiet.
1600,Angela,Those aren't chips and dip.
1601,Pam,"No, I made brownies."
1602,Angela,I'm just trying to figure out why you're sabotaging things.
1603,Angela,And I made cookies. Same category.
1604,Pam,I'm guessing Angela's the one in the neighborhood who gives the trick-or-treaters some toothbrushes. Pennies. Walnuts.
1605,Pam," Dunder-Mifflin. This is Pam.  Uh, yeah.  Just one second. I will, uh, transfer you to our manager, Michael Scott."
1606,Jim,"Um... Whoa.  Michael Scott here. Yes, I am regional manager of this orifice. Mmm hmm. Dwight Schrute is amazing. Yeah. No, he is actually the single greatest employee of his generation. Mm hmm. You know what? I'm gonna tell you what. You hire Dwight K. Schrute, and if he does not meet, nay, exceed every one of your wildest expectations, well then, you can hold me, Michael Gary Scott, personally and financially responsible. Okay. Okay. Okay-kay-kay-kay-kay. Okay."
1607,Dwight,"Stanley, could you come with me, please."
1608,Dwight,As Assistant Regional Manager...
1609,Dwight,"Look! I've got some bad news. You're fired. You need to pack up your things and go.  I'm serious, Stanley. It's over. I'm sorry."
1610,Michael,So. How did it go with Stanley? How... how'd he take it?
1611,Dwight,He wouldn't listen to me
1612,Dwight,"If you want to fire him, you're going to have to tell him yourself."
1613,Michael,"I don't wanna fire Stanley. I never said that. I'm certainly not going to do it myself. Get those big, baleful, eyes staring at me. Yikes. Just, okay, just... "
1614,Dwight," Cumberland Mills?! And how did you get my resume? Oh no, no. I'm very flattered. Don't get me wrong. I'm just not sure that it's my official resume or if it's something that maybe a satisfied customer posted online. What does it say under martial arts training? Oh. Okay, I'm gonna have to supplement that. Could I have your fax number?"
1615,Dwight,"Would I ever leave this company? Look, I'm all about loyalty. In fact, I feel like part of what I'm getting paid for here is my loyalty. But, if there were somewhere else that valued that loyalty more highly, I'm going wherever they value loyalty the most."
1616,Ryan,"Oh, your dress is stuck in the back. Kind of just..."
1617,Dwight," So you got the fax? So why didn't you add it to the res... ? What do you mean? Of course martial arts training is relevant. Oh, excuse me! I know about a billion Asians that would beg to differ. Uh, yeah, I get a little frustrated when I'm dealing with incompetence. Well, you know what? You can go to hell, too. And I will see you there... burning. Fine! Okay... oh wait! So you'll let me know when you've made a decis... "
1618,Pam,"Jim is really talented. And he should be the one who's getting a better job offer. Like, for real."
1619,Pam,"Don't take this the wrong way, but... you should go for that job."
1620,Jim,Um... it's in Maryland.
1621,Pam,"Yeah, but I mean, look at the salary. And it's definitely a step up. And a challenge."
1622,Jim,Yeah. Yeah. You know what? Maybe... maybe I will. 
1623,Dwight,"This is called leveraging an offer.  Michael, can I talk to you for a moment?"
1624,Dwight,"I just thought you should know that I was just offered a job with better pay, better benefits and a better title at Cumberland Mills."
1625,Dwight,And I turned it down.
1626,Michael,What?! That would've solved all my problems.
1627,Dwight,Out of loyalty to this company...
1628,Dwight,... so I was hoping to be made Assistant Regional Manager officially.
1629,Michael,"If you left, I wouldn't have to fire anybody."
1630,Dwight,But then you wouldn't have me here.
1631,Michael,"Big deal. Oh, it would've worked out so well. Can you get it back?"
1632,Michael,You can call. Can you call 'em?
1633,Dwight,I can't. I... I suppose I coul... no. They never really made me an offer anyway.
1634,Michael,Wohahah! Why are you torturing me?! God.
1635,Jim,"Honestly, I don't think Michael has the slightest clue of who he's gonna fire. I think he keeps hoping that someone's going to volunteer. Uh, or be run over by a bus before the deadline. But in the end, really, what's going to happen is it's gonna be the first person to give him a dirty look in the hall. And therein lies the true essence of his charisma."
1636,Michael, Can I speak to you a minute?
1637,Jim,"Michael, I really didn't mean to..."
1638,Michael,"I want you to role play firing me. I want you to fire me, and I will take it."
1639,Jim,"Oh, you want me to be you?"
1640,Michael,"I want you to be me, and I will be Creed."
1641,Jim,"Oh, are you firing Creed?"
1642,Michael,"No, no, no. That's just the first thing... came... in head."
1643,Jim,We should switch seats in order to...
1644,Michael,"Yes, that's a good idea."
1645,Jim,"Alright.  Excuse me. I'm really sorry, but I have to let you go. And it's purely budgetary. It's not personal..."
1646,Michael,Aaaahh! I'm gonna kill myself!
1647,Michael,"I'm going to kill myself, and it's your fault!"
1648,Michael,Corporate is really breathing down my neck. And they're saying this has to be done by the end of the month.
1649,Jim,"Is this you? Are you being you, or is this Creed? Are you..."
1650,Michael,I... this is Creed.
1651,Michael,"I'm improvising, so just try to keep up. "
1652,Jim,"Oh, hold that thought. Hold that thought."
1653,Michael,"And I'm very angry, and I want..."
1654,Michael,I'm gonna kill you. I'm going to kill you for firing me.
1655,Jim,"Toby? Mm hmm.  I really have to take this Creed, so it was really worth..."
1656,Michael,"Get off, get off. No, no. OK.. just get off. Just, just... yeah."
1657,Pam,Oh. That was like crazy. 'Cause I was...
1658,Michael,Could I talk to you for a second?
1659,Michael,"You are great. Very ambitious. And I feel like you want more than this little office has to offer. And I understand that you'd wanna just spread your wings, and fly the coop."
1660,Michael,I... we're gonna have to... You... you want something better.
1661,Michael,"No, you wanna leave."
1662,Michael,Why... why are you making this so hard?
1663,Michael,I think you're right.
1664,Michael,"No, of course you can't go. We haven't even started this horrible process of... okay, Creed. I need to let somebody go today. They told me I need to let somebody go. And as much as I think you're a great guy, and I like you, you're... you're, goodbye."
1665,Michael,What old days? What are you talking about?
1666,Michael,"It's right here on the desk, yeah."
1667,Michael,"I can't, I can't..."
1668,Michael,I can't change anything. This is the way...
1669,Michael,"I don't... okay, just listen."
1670,Michael,"Yeah, I went hunting once. Shot the deer in the leg, had to kill it with a shovel. Took about an hour. Why do you ask?"
1671,Michael,"I have to fire someone today, okay?"
1672,Michael,"Okay, well... I already picked you. And you know that. So, unless I just go through with this, you're always gonna look at me as the guy who almost fired you."
1673,Michael,"Devon, could I talk to you for a sec?"
1674,Michael,"Well, maybe I did."
1675,Michael,"Huh. No! I can't, no. I can't go back. I would look like an idiot."
1676,Michael,"No. It was all the stuff that I said. It was the business downturn, the cutbacks, and, and..."
1677,Michael,I just hope that you and I can remain friends.
1678,Michael,"Look, look. In addition to severance, and everything, I want to give you this gift certificate to Chili's. From me. Okay? No hard feelings."
1679,Angela, What about the Halloween party?
1680,Pam,"Oh, hey, Jim. Wait, stop. Um, I'm sorry... for pushing you towards Cumberland. Seriously, if you left here, I would blow my brains out."
1681,Jim,"That's just a figure of speech, you know? Blow your brains out? Come on. All it really means is that we're friends. Who else is she gonna talk to if I'm gone, right? I mean, if she left, I wouldn't blow my brains out. Of course, I would take that job in Maryland. Because it's double the pay, and soft shell crab just happens to be my favorite food."
1682,Michael,"I love Halloween. You know, it's just, it's just fun. Every year, it's just fun. Last Halloween I came as Janet Jackson's boob. It was topical. People got a... a big kick out of it. The year before that, I came as Monica Lewinsky, and I wore a stained dress. The year before that, I also came as Monica Lewinsky. And before that, I was O.J. It was pretty funny. Oh, I wish you were here last year."
1683,Michael,"He... Hey, hey, hey, hey! How you doing? Wow! You guys looks great."
1684,Michael,You look great! And you're a princess?
1685,Michael,A fairy princess. You're very... .
1686,Michael,"You're a lion.  Wow, I want to hear your, your... Oh!  Oh, okay, that's all yours. That's all yours. Grab it, grab it. You know what? You guys are getting all of these."
1687,Dwight,Where is my desk?
1688,Dwight,This is not funny. This is totally unprofessional.
1689,Jim,"Ok, well, you're the one who lost the desk."
1690,Dwight,I didn't lose my desk.
1691,Jim,"Okay, calm down. Where was the last place you saw it?"
1692,Dwight,"Okay, who moved my desk?"
1693,Jim,I think you should retrace your steps.
1694,Dwight,"Ok, I am going to tell Michael and this entire office will be punished!"
1695,Jim,"Colder... warmer... little warmer... there you go, ooh, warmer... warmer... warmer... warmer... warmer ... cold, cold, cold, back up... ooh, ooh, warmer, hot, red hot, hot, very hot."
1696,Jim," Hi, Dwight, um, what sort of discounts are we giving on the 20 lb white model."
1697,Dwight,"Jim, I've given you this information, like, twenty times."
1698,Dwight,It's by the ream?
1699,Dwight,"...now, $9.78, signs and discounts 7%."
1700,Jim,"Ok, thank you, gotta get back to work."
1701,Dwight,"Wash your hands, Kevin."
1702,Jim," Right, oh let me just check the pricing list. Hold on one second..."
1703,Dwight," Sensei, hello it's Sempai..."
1704,Jim,"You know what, let me give you a call right back. I'm going to uh, find it and then I'll call you back, thanks."
1705,Dwight,"Yes, I just had a ques-... Yes Sensei. Arigatou gozaimashita. Hai."
1706,Jim,Was that your mom?
1707,Dwight,"No, that was my Sensei."
1708,Jim,"Oh, I thought it was your mom."
1709,Dwight,"I am now Sempai, which is Assistant Sensei."
1710,Jim,"Assistant to the Sensei, that's pretty cool."
1711,Dwight,"I am a practitioner of Goju Ru Karate, here in Scranton. My Sensei, Ira, recently promoted me to purple belt, and gave me the duties of a Sempai. Not that a lot of people here in America know what a Sempai is, but it is equally as respected as a Sensei."
1712,Pam,I don't really have any control over that Stanley.
1713,Pam,"Michael tends to procrastinate a bit whenever he has to do work. Umm, time cards, he has to sign these every Friday. Purchase orders have to be approved at the end of every month. And expense reports, all he has to do is initial these at the end of every quarter. But once a year, it all falls on the same Friday and that's today. I call it the Perfect Storm."
1714,Michael," I don't want to work, I just want to bang on this mug all day."
1715,Ryan,Did you ask me here for any specific reason?
1716,Michael,"Uhh, yes, I did, here's the dizzle. I have a very top secret mission for you. I want you to update all the emergency contact information."
1717,Ryan,Why is that secret? 
1718,Michael," Hello, oh God, busy work. Ahh, get away, cretin."
1719,Pam,"Umm, I put stickers so you know where to sign."
1720,Michael,"Yes, thank you. I know where to sign."
1721,Pam,It's just last year you...
1722,Michael,"Last year they were out of order, weren't they Pam?"
1723,Pam,"Well, the last pick-up for overnight deliveries is at seven. So you need to have them signed by then. Or much earlier."
1724,Michael,"Chillax, Pam. Stop Pam-M-S-ing. That's pretty good. Um, actually, I'm sending Ryan on a top secret mission. Tell her what it is."
1725,Pam,"Well, is that really a priority?"
1726,Michael,"Is it a priority? Oh I don't know, um, what if there is a tornado, Pam? People's legs are crushed under rubble. ""Please, would you be so kind as to call my wife? No, I can't because we don't have any emergency contact information because Pam said it wasn't a priority."" Think. Think with your head, Pam. Ok, well. She walks out. That's the problem with being a boss is that when you are tough they resent you and when you are cool they walk all over you."
1727,Michael,"Catch-22. Yes. Why don't you give me your contact information to start with, ok, what's your cell?"
1728,Jim,117 Mount Bergin St.
1729,Michael, Hey Ryan. This is Michael Jackson calling from Wonderland.
1730,Ryan,Do you mean Neverland?
1731,Pam, You're major and minor lines cross at a ridge - that sucks.
1732,Jim,"You making this up as you go along, aren't you?"
1733,Pam,I am just following the website.
1734,Jim,"Well, at least I don't have cavities."
1735,Pam,"Yes, you have very nice teeth."
1736,Ryan,Who is your emergency contact? 
1737,Michael, This is Mike Tyson.
1738,Jim,"Hey, Dwight. As Sempai, do you think there is ever going to be a day where humans and robots can peacefully co-exist?"
1739,Dwight,Impossible. The way they're programmed... You're mocking me.
1740,Dwight,"Look, I'm going to offer you a little piece of advice. I'm not afraid to make an example out of you."
1741,Jim,"Oh, that's not advice. What advice sounds like is this: umm, don't ever bring your purple belt to work because someone might steal it. "
1742,Dwight,"Ok, give that back to me."
1743,Dwight,No. That is not a toy.
1744,Jim,"Good, and it absolutely is a toy. Arigatou."
1745,Dwight,Arigatou. This is not a toy. This is a message to the entire office so they can see that I am capable of physically dominating them.
1746,Michael,"And this is more a ying-yang thing. The 'Michael' all cursive, the 'Scott' all caps. Left brain, right brain. Or, duality of man."
1747,Pam,Could you practice on the forms?
1748,Dwight,"No women or children, unless provoked."
1749,Dwight,Warehouse guy. Doesn't count.
1750,Jim,Ok. Michael? Could you beat up Michael?
1751,Michael,"Yeah, yeah, I don't think that would happen."
1752,Michael,Because I would kick his ass.
1753,Jim,"Well, Dwight's a purple belt, so..."
1754,Michael,So? I've beaten up black belts.
1755,Jim,"Uh, how did you know they were black belts?"
1756,Michael,"They told me. After. You see, I used to run with a very tough crowd. Street Fighter types. Real, real bad people, I'm just lucky I got out."
1757,Ryan,Is your wife still your contact?
1758,Michael,"And after that, nobody ever messed with the 'Damn Rascals' ever again."
1759,Jim,"Sounds tough. When you're a Jet,  you're a Jet all the way, right?"
1760,Michael,You were a Jet?
1761,Angela,Have you signed the expense reports yet?
1762,Michael,"Yes, in theory, I have. I just need to cross some t's and dot some i's. Alright, I'm going to be in my office if anybody needs me.  Hoo-hah. Oh, wow, sleeper hold. That's my rebuttal. Shhh. Hoo. You are the weakest link."
1763,Michael,"I'm friends with everybody in this office. We're all best friends - I love everybody here. But sometimes your best friends start coming into work late, and start having dentist appointments that aren't dentist appointments. And that's when it is nice to let them know that you can beat them up."
1764,Michael,Just hit me. You'll see.
1765,Jim,I can't. I just got a manicure.
1766,Michael,"Oh, queer...  eye. Queer eye. That's a good show. Important show. Go ahead. Do it."
1767,Jim,Just have Dwight punch you.
1768,Michael,"Oh yeah, that would be kind of worthless because I know a ton of fourteen year old girls who can kick his ass."
1769,Jim,You know a ton of fourteen year old girls?
1770,Dwight,What belt are they?
1771,Michael,"Look, Dwight is a wuss. When we rented 'Armageddon'..."
1772,Michael,... he cried at the end of it. He did.
1773,Dwight,"Michael, I told you, it was because it was New Year's Eve and it began to snow at exactly midnight."
1774,Michael,"Oh, Bruce Willis. Are they going to leave him on the asteroid?"
1775,Dwight,"Ok, I'll punch you."
1776,Michael,"Ok, here we go. Alright, come on."
1777,Dwight,"Did I want to harm Michael? The one man I've been hired to protect? No, I did not."
1778,Jim,Are you ok? Are you sure you are alright?
1779,Dwight,I come from a long line of fighters. My maternal grandfather was the toughest guy I ever knew. World War II veteran. Killed 20 men then spent the rest of the war in an Allied Prison Camp. My father battled blood pressure and obesity all his life. Different kind of fight.
1780,Jim,"Ok, he has to be stopped. Please, please, please, please, just ask Michael."
1781,Jim,"Ok, I'll buy you a bag of chips."
1782,Dwight, Take this pen and stab me with it.
1783,Pam,I just have a quick question.
1784,Michael,"I haven't signed them, ok?"
1785,Pam,"No, it's not that. Um, I was just wondering, since I'm probably going to have to stay late, could you ask Dwight to stay late too so he can walk me to my car?"
1786,Michael,"Come in. Um, Pam, I hate to break this to you but Dwight can't stop you from being mugged. He's just not tough enough."
1787,Pam,He's a purple belt. That's really high.
1788,Michael,"Oh, I could beat up Dwight. That's ridiculous. I could murder him."
1789,Pam,"It's just out there, you..."
1790,Michael,"Oh, so that's what they are saying?"
1791,Michael,"Ok, alright, where is Dwight?"
1792,Dwight,"Now watch, let me take you from behind."
1793,Michael,"Watch out Kelly, he might sucker punch you."
1794,Dwight,"I didn't sucker punch you, Michael."
1795,Dwight,"In case you remember, I was defending my honor... like a samurai."
1796,Michael,"Really? Well, the offer, Dwight, was for one punch which I absorbed. I had no idea that there would be a second punch. So, catch-22."
1797,Dwight,"Ok, fine. Tit for tit. Give it your best shot. Two punches. Go!"
1798,Michael,"Look, if we were in a bar right now, there would be two punches: me punching you and you hitting the floor."
1799,Dwight,"No, I would block your first punch rendering it ineffective."
1800,Michael,You know what? You're just lucky that we are at work right now.
1801,Jim,"Ooh, what about, uh, Dwight's dojo?"
1802,Michael,"No, they must have class."
1803,Dwight,"No, it's free during the day. It's fine."
1804,Dwight,I've got the key.
1805,Michael,"I've got an idea: why don't you leave right now. Why don't you walk away from the room, 'kay? Fine. We'll go at lunch. Pam, make an announcement. Figure out carpools."
