,speaker,line
4293,Jim,"Oh, umm... kinda hard to explain."
4294,Jim,"I don't have a ton of contact with the Scranton branch, but, before I left, I took a box of Dwight's stationery, so, from time to time, I send Dwight faxes. From himself. From the future.  ""Dwight, at 8 A.M. today, someone poisons the coffee. Do not drink the coffee. More instructions will follow. Cordially, Future Dwight."""
4295,Dwight,No! You'll thank me later.
4296,Michael,There she is - Jan Levinson. First...
4297,Michael,...thing in the morning. Love to start my morning with a hearty bowl of Jan.
4298,Michael," Just call me Levinson in the morning, baby."
4299,Michael,Am I a small number person or a severance package person?
4300,Michael,"Oh...  Oh, my god. Oh, my god! I don't really get it 'cause we're not doing that bad and our numbers are gonna come up."
4301,Michael,"Oh, you gotta be... Josh?"
4302,Michael,"Oh really, what role is that? King of the stupid universe?"
4303,Michael,"It is an outrage, that's all. It's... hey're making a huge, huge mistake. Let's see Josh replace these people. Let's see Josh find another Stanley. You think Stanleys grow on trees? Well they don't. There is no Stanley tree. Do you think the world is crawling with Phyllises? Show me that farm. With Phyllises and Kevins sprouting up all over the place. Ripe for the plucking. Show me that farm."
4304,Michael,Pictures. Memories.  Look at that. They grow up so fast.
4305,Michael,Don't say that. That just sounds weird. Please.
4306,Dwight,Sorry. I just feel like we haven't talked in awhile.
4307,Michael,"Well... we have nothin to talk about, Dwight. Just do your work ... while you still can."
4308,Jim,Really? Wow... that's bad.
4309,Andy,"Um, sorry... the Scranton branch is closing?  In your face!"
4310,Jim,"Well, I work here now."
4311,Michael,"Yeah, great! Amazing. Best physical condition of my life."
4312,Pam,What did Jan want?
4313,Michael,"Nothing. Just checking in. I can't tell you, so..."
4314,Pam,What can't you tell me?
4315,Michael,"Nothing, Pam. What difference does it make? We'll be gone in a couple of weeks anyway."
4316,Pam,You just said that we're gonna be gone...?
4317,Michael,Do I have any messages?
4318,Pam,"Michael, what's going on?"
4319,Michael," Listen up, everybody... I have some news. We are screwed. Dunder-Mifflin, Scranton is being shut down."
4320,Michael,"You knew about this all along, didn't you?"
4321,Michael,Traitor. You are a traitor.
4322,Michael,I don't know. Probably not. This is the worst.
4323,Andy," Stamford, Connecticut! Stamford, Connecticut!"
4324,Jim,"I worked in Scranton for a really long time. And uh, it's going to be weird that it's all disappearing. I mean, I always knew that the branch would shut down someday. I just figured it would be because Michael sold the building for some magic beans."
4325,Pam,"It's a blessing in disguise. Actually, not even in disguise. Sometimes at home, I answer the phone, ""Dunder-Mifflin, this is Pam."" So, maybe that'll stop now."
4326,Michael,"I know, I know. Well, I'll land on my feet. Don't worry about me."
4327,Michael,"So, you'll be okay too. You're a warrior. You're smart, capable. You'll find something else and..."
4328,Michael,This is my house. The CFO is taking away my house and giving it to Josh. And Josh is giving the garage to Bob Vance.
4329,Michael,"All right, listen up. Some of you may have heard some rumors about the branch closing. But, I am not going to take this lying down. I have a plan and I am going to save our jobs. So just hang in there.  Let's go."
4330,Pam,"Oh, good... you're bringing Dwight."
4331,Michael,Yes. This might get ugly. I need backup.
4332,Michael,"Go to New York, confront the CFO, show him he's making a mistake... save the branch."
4333,Michael,No. There's no one else.
4334,Dwight,"Thank you very much.  Okay, secretary says Wallace is away for the day and won't be coming back into the office."
4335,Dwight,"But, do not worry. I have his home address right  here."
4336,Michael,You sent him cards? You never met him.
4337,Dwight,"But when I do, we'll have something to talk about."
4338,Jim,"Hey, do you have a second?"
4339,Jim,"I know it's not definite or whatever, but uh, do you know who's coming over here from Scranton?"
4340,Jim,"Okay, so is it like sales or... accountants?"
4341,Jim,What does that mean?
4342,Michael,"Okay, this is it.  This is exactly what Michael Moore does, famous documentarian. He goes up to people with a camera and he's like ""Why did you do this? Why did you pollute? You are bad. You're a bad person."" It's very dramatic. Although, I can't say I was a big fan of 'Bowling for Columbine', because I thought it was going to be a bowling movie, like 'Kingpin'. And it wasn't. It was something else."
4343,Jim,"Say what you will about Michael Scott, but he would never do that."
4344,Dwight,"So, do you know what you're gonna say when he shows up?"
4345,Michael,I will improvise. I will speak from the heart.
4346,Dwight,"No. Bad idea. You need an attack plan. Here, I'll be him, you be you. Let's practice."
4347,Dwight," Dum, dum, dum, dum... coming home from work."
4348,Dwight,Yes? What is the meaning of this?
4349,Dwight,"Well, the branch is no longer finicially viable. It's simple dollars and cents."
4350,Michael,"Yes, but these are employees, Sir. These are human beings."
4351,Dwight,"Listen, Scott... we're losing money, okay? It's not a charity; it's a business. And it's a dying business."
4352,Michael," Stop... stop it! Just, okay. He's not going to say any of that."
4353,Dwight," Whoa hey, why not?"
4354,Michael,"Because he'd be intimidated and I, just... let's start again. Just be more scared of me, okay?"
4355,Michael,Don't touch me this time.
4356,Dwight," Dum, dum, dum, du, doy, du, do... coming home from work..."
4357,Michael,"Excuse me, Mr. Wallace?"
4358,Jim,"No, it's just I'm not sure if I um... well to be quite honest with you, Jan, I have a few unpleasant memories of Scranton. And um..."
4359,Jim,"No. No, no. Just um... some personal stuff. And I'm not really ready to revist that, I don't think."
4360,Dwight,"Ah.  Here, replinish your fluids."
4361,Pam,He's not here. I don't know where he is.
4362,Pam,Is it because of Michael? Did he actually do something?
4363,Pam,"Sure, uh, Jan... um, do you know, is anyone coming back to Scranton?"
4364,Pam,Coming to Scranton. Is anyone coming to Scranton?
4365,Michael,"No, not until I have some good news for them. Not until I have some good news."
4366,Pam,I guess some new people might be coming from Stamford. Should be fun. New blood.
4367,Pam,"That's, um... I hadn't thought about it, huh."
4368,Pam,"Yeah, that might be weird. Overall though, we still all have our jobs... so, good news, right?"
4369,Jim,I really don't know. How you doing with all this?
4370,Jim,You'd actually move to Scranton?
4371,Jim,New York City is 45 minutes down the road from here. And you wanna move to Scranton? I dunno. If I were you I'd move to New York?
4372,Andy,"Thanks, man. You, too. Totally."
4373,Michael,What if this doesn't work? What is the office actually goes under?
4374,Dwight,Then it was an honor to have worked with you.
4375,Michael," All right, favorite moments in Dunder-Mifflin history. Go."
4376,Dwight,My first day when you hazed me by spraying me with a fire extinguisher.
4377,Michael,That was hilarious. The foam ...
4378,Dwight,"Uh,... my first sale, my promotion to assistant regional manager, our basketball game, when you took me to the hospital, and told me that you cared about me."
4379,Michael,"Oh, right. Okay, that's enough. That's good."
4380,Dwight,What were your favorite moments?
4381,Michael,"Oh, hmm, all of them. I loved them all. Every single one."
4382,Dwight,What about when Jan said the branch was closing?
4383,Pam,Really? Where did you hear that?
4384,Pam,"Maybe this is good. Finding another job is a pain. There's another annoying boss, another desk, I'd have to learn everything all over again. So, there are reasons to stay."
4385,Jim,"Hey, um, I think I am gonna take that job. And Scranton... it's not that bad. So, if they offer you a job there, I think you should take it."
4386,Michael,What are we still doing here? It's over. Let's go home. Get the car.
4387,Michael,"Oh, this was such a stupid idea! This was so stupid. I am such a stupid idiot. I let everybody down. Everybody hates me. I lost everybody's jobs. Nobody likes me anymore!"
4388,Michael,We did it? We did it.
4389,Michael,Right here! Right here! 
4390,Michael,How did we do it?
4391,Dwight,I don't ... have no idea.
4392,Jim,The Stamford branch is closing and everybody's just packing up their stuff. Andy Bernard made these tasteful hats.
4393,Andy," That's the other thing you got to watch out...  Yo! Tuna! I wanna talk to you about this new boss, Michael Scott."
4394,Andy,So what's he like? Likes? Dislikes? Favorite sports? Favorite movies? Favorite men's magazines?
4395,Jim,You know what? I think you just need to meet him.
4396,Andy,"Playing your cards close to the vest. I get it. Good luck over there, Tuna. Cross me and I will destroy you."
4397,Jim,"Yes. This is going to be very interesting. All right, I'm out of here. See you later?"
4398,Pam,How'd the run go?
4399,Dwight,"Psh, why is that great?"
4400,Pam,Because he accomplished something.
4401,Dwight,What was your mile time?
4402,Dwight, I could beat that on a skateboard.
4403,Dwight,"Yeah, well my feet don't. And I can still crush that time."
4404,Pam,"Really, Dwight? How fast are you?"
4405,Dwight,Let's just put it this way. Last weekend I outran a black pepper snake.
4406,Dwight,I am fast. To give you a reference point. I'm somewhere between a snake and a mongoose. And a panther.
4407,Dwight,"Man, what is taking Toby so long?"
4408,Pam,"Oh, I'll just time him later."
4409,Dwight,And you'll compare the times?
4410,Pam,Yeah. Are you ready?
4411,Pam,"Am I being mean to Dwight? I don't know. I did just make him run around the building and I have no intention of timing him. This isn't even a stopwatch. It's a digital thermometer. He does make my life harder, sometimes. And on purpose. Like he tried to put meters on the bathroom stalls as a way of bringing in more money for the company.  Hey, three more laps to go. Gotta pick it up if you're going to beat Toby."
4412,Pam,I should probably get back to work.
4413,Michael,Karen Filip...  Ka-ren Fili-pell-li.
4414,Dwight,Probably Italian. Possibly Filipino.
4415,Michael,"My branch is absorbing the Stamford branch. Or, as I like to put it, my family is doubling in size. That's all I'm going to say about it because I have a gigantic performance ahead of me. And I have to get into my head and focus. "
4416,Dwight,If I were you...
4417,Dwight,...I would fire Anthony Gardner...
4418,Michael,I'm not firing somebody on the first day.
4419,Dwight,"No, no, no! Not somebody. Gardner."
4420,Dwight,The Japanese camp guards of World War II always chose one man to kill whenever a batch of new prisoners arrived. I always wondered how they chose the man who was to die. I think I would have been good at choosing the person.
4421,Michael,"Got the food? Good! Looky-looky-looky. What I want you to do... set it up in the conference room, please. Make it look nice. As if you are trying to impress a much older man who's way out of your league."
4422,Pam,"Yes! I'm in a good mood today! I'm excited to meet all the new people and to see my old friend again, definitely. That's always a thing that makes people happy... to have an old friend back."
4423,Michael,Ah! Ding-ding-ding-ding-ding. Our first arrival. Welcome to Scranton. This is Hannah Smoterich-Barr.
4424,Michael,Welcome to our humble abode. Follow me to your desk. Your ball and chain is right over here.
4425,Michael,"You know for a lot of these people this is the only family they have. So... As far as I'm concerned,  this says 'World's Best Dad'."
4426,Michael,Ah! There he is Tony... what's your last name?
4427,Michael,Gardner! I knew that. There you go. Gift bag... for you.  Okay.
4428,Michael,"Well, they're just for guests. If there are any left over, you can buy one later."
4429,Michael,"Wh..and coupons... to various hot spots around Scranton.  All right! Let me show you to your area, sir. Come on, big guy."
4430,Pam,"Oh, thanks. My Mom made it for me."
4431,Michael,"Welcome, welcome, welcome!  Take me to your leader. Oh wait, I am your leader."
4432,Michael,"Mmm... dah. I am actually your boss, Michael Scott. Welcome. Wow! You are very exotic looking. Was your dad a G.I. or uh?"
4433,Andy,"I'll be the Number Two guy here in Scranton in six weeks. How? Name repetition, personality mirroring, and never breaking off a handshake. I'm always thinking one step ahead. Like a carpenter that makes stairs."
4434,Michael,Ah! You must be Andy Bernard. Aloha and welcome!
4435,Andy,And you must be Michael Scott. Aloha and... hello.
4436,Michael,"A-ha-ha-ho. Very good! Welcome to our little kingdom. Ah, we have a bag of nifty gifties for you."
4437,Andy,"Michael, thank you for welcoming me to your little kingdom, Mike."
4438,Michael,They are nifty! They're nifty gifties.
4439,Michael,You know who I really like? Is this guy Andy Bernard. He has got this very likable way about him.
4440,Michael," No way. Get him out of here. We don't want any of this kind in here. Good to see you, man."
4441,Michael," How are you? Martin Nash, I presume? This is a little gift bag for you."
4442,Michael,"Free of charge. Follow me, I will show you where all the slaves work.  Not... so, your desk is..."
4443,Jim,"Hi, I'm Jim. I'm new here."
4444,Pam,Oh my god! It's really you!
4445,Jim,"Yeah, I was just doing a little joke there about how we'd never met..."
4446,Pam,I know. I don't care.
4447,Jim,Awesome! Good to be back. The place looks really good.
4448,Pam,It's really good to see you.
4449,Jim,"Where do I stand with Pam? Um... no idea. I mean, we're friends. Always have been friends. Um... .that is where we stand."
4450,Dwight,"Well, well, well. Look what the cat dragged in from Stamford."
4451,Dwight,Fact - I am older. I am wiser. Do not mess with me.
4452,Dwight,What are you doing?
4453,Jim,I don't know what you're talking about.
4454,Dwight,I have a smudge on my forehead?
4455,Dwight,Why are you looking at my forehead?
4456,Dwight,"Meet my eye line, Jim!"
4457,Dwight,Stop acting like an idiot!
4458,Jim,Hey! How are you man? Good to see... you.
4459,Jim,"Oh, I'm sorry. Are you sitting here now?"
4460,Jim,"You know, man, it's really you're call."
4461,Jim, Let me get that for you.
4462,Jim,This one taken? No. Good.
4463,Andy,"Michael Scott. Thank you. I appreciate it, Mike."
4464,Dwight,Hello. I don't believe we've been introduced. Dwight Schrute. Assistant Regional Manager.
4465,Andy,Andy Bernard. Regional Director in Charge of Sales.
4466,Dwight,"So you'll be reporting to me, then."
4467,Andy,"Umm, on the contrary."
4468,Dwight,My title has 'Manager' in it.
4469,Andy,And I'm a director.
4470,Andy,Which on a film set is the highest title there is. Do you know anything about film?
4471,Dwight,I know everything about film. I've seen over 240 of them.
4472,Jim,"How are you, man?"
4473,Jim,I just wanted to say hi.
4474,Jim,Oh. Is that like your new thing?
4475,Jim,All right. Good to be back.
4476,Michael, I present the orientation video.
4477,Dwight,We need to talk!
4478,Dwight,Which is higher? Assistant Regional Manager or Regional Director in Charge of Sales?
4479,Michael,I told you the titles are irrelevant. They just relate to pay scale.
4480,Dwight,Okay. So who gets paid more? Me or Andy?
4481,Michael,"It is not a matter of more or less. Your pay is just different. Okay? All right! Show time, part one."
4482,Dwight,Ok. Who reports to who?
4483,Michael,"I don't care! Dwight! You all report to me! That's all that matters! The rest of it just work out amongst yourselves, ok?"
4484,Dwight,And then if I want...
4485,Michael,Work it out amongst your selves!
4486,Michael,"Please! I have a company to run. Well, you let me run the company?"
4487,Jim,Great. What's new with you?
4488,Michael,"Okay. Everybody settled in? Good. Why don't we all proceed in to the conference room? Or, should I say, the banquet hall. For... drum roll, please , the official Merger Day All-Family Welcome Breakfast. Come on in!"
4489,Michael,"Nope, no. Guests only."
4490,Michael,"Nope. Um... for the guests it is. For you, consider it cow-meat. Strictly taboo."
4491,Michael,"Well, then... consider it poisoned beef. No touchy."
4492,Michael,"No, it's not beef... just... sit down, please.  Welcome. Help yourself."
4493,Michael,"Wrong. Toby, this is an orientation not a borientation. Okay. Do not worry. All of your questions are about to be answered. Cell phones and pagers off, please."
4494,Jim,"Oh, this looks promising."
4495,Pam,You won't be disappointed.
4496,Michael,"Let's face it. Moving to a new job can be very stressful. So I have made an orientation video especially for you newcomers. But it's not like any orientation video that any of you have ever seen. It's funny. It's got a little bit of a zing to it and I hope that it gives you a flavor of what we're all about here at Dunder Mifflin. And what we're all about here in Scranton. So let's just all laugh together and watch ""Lazy Scranton""."
4497,Michael,"Sittin' in my office with a plate of grilled bacon, call my man Dwight just to see what was shakin'."
4498,Dwight,"Yo Mike, our town is dope and pretty."
4499,Michael,So check out how we live
4500,Michael,They call it Scranton.
4501,Michael,The Electric City. Scranton.
4502,Michael,The Electric City. Call poison control if you're bit by a spider.
4503,Dwight,But check that it's covered by your health care provider!
4504,Jim,It reminds me of the orientation video showed on my first day. 'The Scranton Witch Project'.
4505,Michael, I am so scared... when people don't label their personal food.
4506,Michael,"You like coal mines and you wanna see 'em, Well, check it out, yo, the Anthracite Museum! Plenty of space in the parking lot,"
4507,Dwight,But the little cars go in the compact spot
4508,Michael, Spot. Scranton. What? The Electric City. Scranton.What? The Electric City. Scranton. What?
4509,Michael,"Well, so far, I think it is killin'. I thought it would either be an 'A' or an 'A+' but I completely forgot that there's an 'A++'."
4510,Jim,"Not bad, but you are Italian so... try it more Italian."
4511,Andy,"Hey, buddy. Anything new to report?"
4512,Dwight,Do you mean to me? From you? Cause that's how it works.
4513,Andy,"Am I trying to get under his skin? Yes. Because the angrier he gets, the more marginalized he becomes. Meanwhile, Andy Bernard is out there layin' on the charm."
4514,Andy,"Hey, Angela. Check this out. It's my new screen saver."
4515,Andy,Do you like it?
4516,Andy,Thank you. You have such a pretty smile by the way.
4517,Pam,What happened to grape soda?
4518,Jim,Oh yeah. I'm trying to move away from that. Getting into more of a bottled water phase.
4519,Pam,Oh. You've changed so much.
4520,Jim,"Well, I'm evolving, Pam."
4521,Pam,So when do I get to hear everything? Are you still getting unpacked or... you want to grab a coffee or something after work?
4522,Jim,"Oh! Um... tonight, actually? No. I'm uh just still getting settled."
4523,Pam,"Oh, yeah, no! You know. Whenever."
4524,Michael,Oh-kay. Sorry to interrupt. I...
4525,Jim,Nope. You're not interrupting anything. Nope. I'm...
4526,Jim,All right.  I should probably get back to work. Get back to work.
4527,Pam,"Yeah. I know, me too."
4528,Pam,"The day's going fine. It's been a little chaotic but it's fine. It's great! A lot of distractions. But, it's good."
4529,Michael,What is that? A squid's eye or...
4530,Michael,People hate people that are different from them. That's natural. But you know what makes people forget their differences? A great show. That is why I created the 'Integration Celebration'. This is the moment when Scranton and Stamford come together as one. United in applause.
4531,Michael,"I know what a lot of you must be thinking. 'Wow! What a day! Feels more like a night at a party than a day at work.' Well, in my opinion, business should feel like a night out. A night... at... the Roxbury. Okay. There's supposed to be music and it's... I got it, I got it! I got it. Dwight! Just."
4532,Dwight,Do you have batteries?
4533,Andy,"Baby, don't hurt me."
4534,Michael,"Okay, here we go."
4535,Andy,"Baby, don't hurt me!"
4536,Michael,Scuse me! Scuse me!
4537,Michael,You me? You me? Me you? You! You! You me! Bow Bow Bow!
4538,Michael,"You me? You me? Me you me! You! You! You me you! You! Oh my nose so itchy, why's my nose so itchy!"
4539,Andy,"Oh, probably because of all the nose candy."
4540,Michael," Okay, I told you these guys had a sense of humor."
4541,Michael,"All right, all right, I'm on a roll."
4542,Michael,Why are the new people on the table? To show them that we are not above them.
4543,Michael,Not today. No. Tony! Please join your cohorts on the table if you would.
4544,Michael,I understand. We're all friends.
4545,Michael,"Oh, well. Just use the momentum of your lower half to hoist yourself up."
4546,Michael,You know what? I'll help. I will...
4547,Michael,Don't be shy! Dwight! Let's do this!
4548,Dwight,Do this. Come on. Ready?
4549,Michael,Come on. We're doing this thing! Let's get up.
4550,Dwight,On three. One... two... three.
4551,Michael,"Bend at the knees. Okay, here we go. Here we go. I'm under this... I'm under this hock here. I don't know what I'm grabbing here."
4552,Michael,We've almost got it. Push it! Push it!
4553,Michael,I'm right in your crack!
4554,Michael,"You've got it, you've got it."
4555,Michael,Whoa Whoa Whoa! Okay.
4556,Michael,"Well, we'll squeeze you in."
4557,Michael,"You can't quit! On the first day. That's  heresy, my friend!  Okay, let's talk about this. What happened? I mean, what... Was it Toby? Did he say something? Cause he's... what?"
4558,Michael,My management style? So... didn't you think 'Lazy Scranton' was funny?
4559,Michael,"Okay. Well, don't bother quitting because you're fired."
4560,Michael,"You are fired! I'm sorry, but we don't have quitters on this team! Just clean out your desk!"
4561,Michael,"Don't try to apologize to me, man! It's too late. Just get out! Take your bad vibes with you."
4562,Dwight,That was my advice. Remember? I'm the one who suggested that you fire him.
4563,Michael,"Probably the best advice you ever gave me, Dwight."
4564,Dwight,And what advice has Andy given to you today that you have acted on? Would 'none' be an accurate estimate? None advice?  Fire Andy. Fire. Andy.
4565,Andy,Dwight may have won the battle. But I will win... the next battle.
4566,Michael,"Whoa, Angela! Hold on. Hooters is a restaurant. With over 400 locations worldwide."
4567,Michael,No. We do have to get along. Can't we all just get along? Or have we forgotten the words of the Reverend King.
4568,Michael,"The word merger comes from the word marriage. And that was what today was supposed to be. The loving union between people. Instead, it has become like when my Mom moved in with Jeff. And once again, it becomes my job to fix it."
4569,Michael,"Hey! Hey, everybody! Something happened! Those guys from Vance Refrigeration, they let the air out of our tires."
4570,Michael,Yeah! They punk'd us! They punk'd us good! Come on. Come on!
4571,Michael,"Man, they got us so bad. We cannot let them get away with this. We have got to pull together as one and steal their refrigerators."
4572,Michael,"Go home, Toby. Just..."
4573,Michael,"Why? I will tell you why. Because they saved the worst for me. They put a hate note under my windshield wiper. Check this out. It's so hateful.  ""You guys SUCK! You can never pull together as one and revenge us. That is why you SUCK!"""
4574,Michael,"No. No, no, no. No. You are falling for it. You're playing right into their hands. This is just what they want you to do. Don't, oh..."
4575,Michael,THIS IS EGREGIOUS! This is egregious!
4576,Michael,"See that? Mission accomplished. Like a bunch of fourth graders. Sometimes, what brings the kids together is hating the lunch lady. Although that'll change. Because, by the end of the fourth grade, the lunch lady was actually the person I hung out with the most.  Jell-o!"
4577,Michael,I did. Major personnel crises averted. Compliment accepted.
4578,Michael,But do you realize that that was actually Dwight's idea? Bad advice from my Number Two.
4579,Michael,"Yes, I know that. For, I do read the memos."
4580,Michael,"So after a great deal of thought and introspective-shun, I have decided to make Jim my new Number Two."
4581,Dwight,If he even wants it. It doesn't come with a pay raise.
4582,Jim,"Yeah, it does, actually."
4583,Dwight,So who will be your new Number Three?
4584,Michael,Uh... that I have not decided yet.
4585,Andy,"Michael, I would just like to say you have handled this entire situation with great aplomb."
4586,Michael,"Thank you, Andy. That's... very kind. Thanks."
4587,Dwight,And I have to say your leadership...
4588,Michael,Shut it! That's...  suck up!
4589,Jim," Hey! Where you at, Filippelli?"
4590,Jim, What's wrong? You didn't have a good first day?
4591,Jim,Yeah. Sure. Sounds good. I... .  Hey! You know what? Can I give you a call right back?
4592,Jim,I thought you had already... left.
4593,Pam,Uh... no. I just uh had some other stuff I had to do.
4594,Jim,"Oh, nothing. I just feel bad. I feel like things were a little weird today... or something."
4595,Pam,What do you mean?
4596,Jim,I just think I should tell you that... I've sort of started seeing someone. And uh...
4597,Pam,Oh. That's totally cool. You can do whatever you want.
4598,Pam,We're friends. We'll always be friends.
4599,Pam,It's good to have you back.
4600,Jim,Yeah. Good to be back.
4601,Andy,"Saw your dorkmobile in the parking lot. What does it get, like four miles to the gallon?"
4602,Dwight,"Uh, try double that. Classic TransAm, vintage American muscle. Please."
4603,Andy,"Yeah, my Xterra's pretty sweet. Luxurious, yet rugged. Leave it to the Japanese."
4604,Dwight,Xterra's not even a real word.
4605,Andy,"Actually, it is. It's Latin for ""earth."""
4606,Dwight,"Oh, so you drive an X-Earth?"
4607,Dwight,That makes sense. I'd rather drive a classic TransAm than an XEarth.
4608,Andy,"Yeah, I bet you would. Oh, by the way, 1985 called. It wants its car back."
4609,Dwight,Well I hope 1985 has a time machine 'cause I drive an 87.
4610,Andy,"Oh, speaking of time machines, I just got back from the future and I went to your funeral and, guess what, nobody came."
4611,Dwight,"Speaking of funerals, why don't you go ahead and go die."
4612,Andy,"Oh, that was a really well constructed sentence. You should be an English professor at Cor-not University."
4613,Andy,"If I were an idiot, I'd be driving a TransAm."
4614,Dwight,"If you were driving a TransAm, you would be the smartest idiot in the whole world."
4615,Dwight, I was making fun of your comeback! That's why it worked.  Totally got the best of that interchange.
4616,Pam,Ohhhh! She's absolutely adorable!
4617,Pam,"...Oh, sorry. He's--he's dressed all in pink."
4618,Pam,...Oh. That's... fun for him.
4619,Michael,"Ohhh, wow. Look at that. How cute."
4620,Michael," Hey, look at me, I'm a baby! I'm one of those babies from ""Look Who's Talking."" What am I thinking?  Look at all those staplers! What's a stapler!? I don't even know, I'm a baby! Hey, Mom, I'm thirsty! I'm thirsty, Mama! I want some milk. And you know where milk comes from! Breasts."
4621,Jim,Just about... yup. Now.
4622,Jim,"Yes. I have started to see Karen. It's very new, and... not really ready to talk about it openly yet, just because, I think, once the word gets out there, it might affect the way people behave around us or... I dunno. Just, not yet."
4623,Michael,"Yeah, Jan, it um... looks like a check, piece of paper of some sort. Receipt. I don't know."
4624,Michael,I didn't hire an ex-convict. Unless they mean Toby. Convicted rapist.  ... I'm just kidding.
4625,Michael,"Hey Jan, speaking of Stamford, Hannah brought in her baby."
4626,Michael,Kuhhhh... you are such a racist.
4627,Michael,Because you think he's black.
4628,Michael,Stop it. Stop it right-stop it right now.
4629,Michael,Why did the convict have to be a black guy? It is such a stereotype. I just wish that Josh had made a more progressive choice. Like a white guy... who went to prison for... polluting a black guy's lake.
4630,Michael,"In our society, a black man can be arrested for almost anything. He was probably at a sporting event and... saw some people pushing each other, and he intervened."
4631,Pam,Why would anyone go to jail for that?
4632,Michael,"Sssssso, what we need to do... is to forget about this whole Martin in prison thing. People will draw unfair conclusions about Martin and or black people."
4633,Andy, I am so horny.
4634,Jim,...Okay I can't... help you... with that.
4635,Andy,"Oh, I think you can, Big Tuna. Tell me about that Indian chick, Kelly. She seems pretty slutty. Good for a romp in the sack."
4636,Jim,"She is dating Ryan, I think."
4637,Andy,"Oh, and I care why?"
4638,Andy,"Next. How about... . Blondes are more fun. C'mon, trust me on that."
4639,Jim,"Yeah, trust me, that would be fun for no one."
4640,Andy,"Okay fine. Um. Pam, the receptionist. Paaam. Should I go for it?"
4641,Michael,Just... try to be cool.
4642,Michael,"Okay, are you cool, really?"
4643,Dwight,"I'm cool, I'm cool, I'm so cool. Tell me what is going on."
4644,Michael,"Um... Martin, from Stamford, was, at one time, in prison.  No. Dwight! Be cool! Be cool!"
4645,Dwight,"I am greatly concerned about having a convict in the office. And I do not care if that convict is white, black, Asian, German, or some kind of halfsy. I do not like criminals."
4646,Andy,"All... righty, let's get started. What is she into?"
4647,Jim,"I know Pam pretty well. I know the things that she likes, and, just as important, I know the things that she hates. So, one of the things that she likes is pranks. And, the things that she hates..."
4648,Andy,I started the main Frisbee golf club at Cornell. Where I went to college. I live to frolf.
4649,Jim,"Lead off with that. She loves hunting. She also loves those ads for Six Flags, with the old guy.  Got it. Also... do you speak pig latin?"
4650,Michael,"Hey Martin, how's it going?"
4651,Michael,"Ah. Good good. Good. Just a second. Everybody? May I have your attention please? I realize that a lot of you have already heard that Martin here has had some trouble with the law, but I just want to declare publicly that I... trust... him, completely, and that anybody who doesn't is an ignorant, dumb... person. Okay? As a matter of fact, you show me a white man you trust and I will show you a black man that I trust even more. Pam. Tell me a white person you trust."
4652,Michael,Oh. Please. Colin Powell.
4653,Michael,"Close your eyes. Picture a convict. What's he wearing? Nothing special, baseball cap on backwards, baggy pants... he says something ordinary like... 'yo, thats shizzle.' Okay. Now slowly open your eyes again. Who are you picturing? A black man? Wrong. That was a white woman. Surprised? Well, shame on you."
4654,Michael,No. That's not cool. You don't have to tell them.
4655,Pam,What was prison like?
4656,Pam,"Yeah, some days I never go outside."
4657,Michael,"Well, we are running a business, so."
4658,Pam,They have art classes?
4659,Pam,Kinda sounds like... prison's... better than Dunder-Mifflin.
4660,Michael,Ah. Well. That's not true.
4661,Michael,No you would not.
4662,Michael,This place is not prison. It's... way better than prison.
4663,Andy,"Pam-a-lama-ding-dong. Listen, you're cute. There is no gettin' around it. So... I don't know if you like country music, but I was thinking maybe one of these days we could drive out to a field, crank up some tunes, smoke a few Macanudos... maybe even toss a disk around. Utway ooday ooyay inkthay, Ampay?"
4664,Andy,Shh. Think about it. I'll hit you back.
4665,Pam,Wow. That was... wow.
4666,Michael,"Okay! Listen up everybody! Um, you guys said that prison was better than this place, and I heard ya, loud and clear, so, I am instituting some changes to make this more like prison. We are going to start with an hour of outdoor time. So let's go!"
4667,Pam,"Michael, it's freezing out."
4668,Michael,Why don't we... pump some iron? Anyone wanna... pump up?
4669,Jim,"What is that, like... five pounds?"
4670,Michael,"It's uh... two and a half. I'm not going for bulk, I'm going for tone."
4671,Michael,"Yeah, it's... freaking cold out here. Anybody wants to stay out, you've got about... twenty-seven minutes of rec time."
4672,Michael,Oh heyyy. Martiiin. You have TV in the joint?
4673,Michael,Ah. A ten inch black and white?
4674,Michael,These people don't realize how lucky they are. This office is the American Dream. And they would rather be in the hole.
4675,Jim,Oh. Andy. I thought of one last tact you can take with Pam.
4676,Jim,Quick question - do you play the guitar?
4677,Andy,I play the banjo.
4678,Jim,"Hold on, let me think about that, yes, that'll work. But can you sing in a sexy high falsetto voice?"
4679,Andy," You know I can, my man."
4680,Andy,I'm gonna go get my banjo out of my car.
4681,Jim,...I'm messing with Andy. I'm sending him to all the women in the office with... just... terrible information on how to get them to go out with him.
4682,Jim,"...Oh, you know what? ... It was... gonna be Pam, but..."
4683,Jim,"Uh, you know what though? I feel like I already sicked him on Pam... we'll give her a break. Let's think of someone else."
4684,Michael,"All right everybody, there has been a lot of name calling against our office today. Corporate maligning, slurring, much of it coming from one of you, who claims that prison is better... than... here. And none of can say ""Boo"" because none of us have ever been to prison. Well, there's somebody I'd like you to meet. Somebody else who has been to prison, who can tell you what it is really like . I'm prison Mike! You know why they call me prison Mike?!"
